40 20
########################################
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
#                                      #
### #                                  #
#                                      #
### #                                  #
#   #                                  #
#   #                                  #
#@  #                                  #
########################################
